t,w
2016-01-01 00:11:00,69000.18485675228
2016-01-01 01:11:00,69000.75021197015
2016-01-01 02:11:00,69000.44239651093
2016-01-01 03:11:00,69000.63377744965
2016-01-01 04:11:00,69000.97823291534
2016-01-01 05:11:00,69000.66482837962
2016-01-01 06:11:00,69000.98019416827
2016-01-01 07:11:00,69000.79164313147
2016-01-01 08:11:00,69001.02974337823
2016-01-01 09:11:00,69000.05645602015
2016-01-01 10:11:00,69000.15532015903
2016-01-01 11:11:00,69000.02692255752
2016-01-01 12:11:00,69000.67659271567
2016-01-01 13:11:00,69000.36572960863
2016-01-01 14:11:00,69000.81189862276
2016-01-01 15:11:00,69000.5819286633
2016-01-01 16:11:00,69000.50864563607
2016-01-01 17:11:00,69001.28875214962
2016-01-01 18:11:00,69000.69334405137
2016-01-01 19:11:00,69000.44923381094
2016-01-01 20:11:00,69000.08006125563
2016-01-01 21:11:00,69000.91869711647
2016-01-01 22:11:00,69000.82697182558
2016-01-01 23:11:00,69000.04033607594
2016-01-02 00:11:00,69000.40356306032
2016-01-02 01:11:00,69000.55127585544
2016-01-02 02:11:00,69000.17248302791
2016-01-02 03:11:00,69000.35230742159
2016-01-02 04:11:00,69000.99910821833
2016-01-02 05:11:00,69000.16323415635
2016-01-02 06:11:00,69000.64883892534
2016-01-02 07:11:00,69001.18940498725
2016-01-02 08:11:00,69000.22010513402
2016-01-02 09:11:00,69000.2845885665
2016-01-02 10:11:00,69000.54340716242
2016-01-02 11:11:00,69000.65788403426
2016-01-02 12:11:00,69000.61273467884
2016-01-02 13:11:00,69000.12380124904
2016-01-02 14:11:00,69000.16494291453
2016-01-02 15:11:00,69000.49860703068
2016-01-02 16:11:00,69000.3372181976
2016-01-02 17:11:00,69000.89850220566
2016-01-02 18:11:00,69000.33534505712
2016-01-02 19:11:00,69000.3168390138
2016-01-02 20:11:00,69001.17277404429
2016-01-02 21:11:00,69000.4280719296
2016-01-02 22:11:00,69000.08155988928
2016-01-02 23:11:00,69000.4586358351
2016-01-03 00:11:00,69000.36993283275
2016-01-03 01:11:00,69000.73371138767
2016-01-03 02:11:00,69000.63429657774
2016-01-03 03:11:00,69000.33127612386
2016-01-03 04:11:00,69000.31130884065
2016-01-03 05:11:00,69000.25506097192
2016-01-03 06:11:00,69000.98023970657
2016-01-03 07:11:00,69001.23663316078
2016-01-03 08:11:00,69000.43737236418
2016-01-03 09:11:00,69000.67728969498
2016-01-03 10:11:00,69000.59819394632
2016-01-03 11:11:00,69000.26214154337
2016-01-03 12:11:00,69000.25782312374
2016-01-03 13:11:00,69000.2739385714
2016-01-03 14:11:00,69000.28240547652
2016-01-03 15:11:00,69000.16748047217
2016-01-03 16:11:00,69000.63442090672
2016-01-03 17:11:00,69000.81521614025
2016-01-03 18:11:00,69000.37960229194
2016-01-03 19:11:00,69000.31460101643
2016-01-03 20:11:00,69000.70629852139
2016-01-03 21:11:00,69001.25146825542
2016-01-03 22:11:00,69000.10158778279
2016-01-03 23:11:00,69000.16084546776
2016-01-04 00:11:00,69000.29099217722
2016-01-04 01:11:00,69000.6708362439
